Subcellular location ID	Name	Category	Gene Ontologies	Is a	Description	Keyword	Synonyms	Links	References	Note	Content	Is part of	Statistics
SL-0354	Organellar chromatophore thylakoid	Cellular component	GO:0070116:organellar chromatophore thylakoid	SL-0278; Plastid thylakoid; LOCATION	The thylakoid of an organellar chromatophore is an internal system of interconnected membranes that carry the complexes for the light reactions of photosynthesis. Found exclusively in Paulinella species, which are photosynthetic thecate amoeba.						Plastid, organellar chromatophore thylakoid	SL-0351; Organellar chromatophore; LOCATION	reviewed:26; annotated:0
SL-0355	Organellar chromatophore thylakoid lumen	Cellular component	GO:0070117:organellar chromatophore thylakoid lumen	SL-0309; Plastid thylakoid lumen; LOCATION	The organellar chromatophore thylakoid lumen is the compartment bounded by the thylakoid membrane. Found exclusively in Paulinella species, which are photosynthetic thecate amoeba.						Plastid, organellar chromatophore thylakoid lumen	SL-0354; Organellar chromatophore thylakoid; LOCATION	reviewed:0; annotated:0
SL-0356	Organellar chromatophore thylakoid membrane	Cellular component	GO:0070118:organellar chromatophore thylakoid membrane	SL-0216; Plastid thylakoid membrane; LOCATION	The organellar chromatophore thylakoid membrane is an internal system of interconnected membranes that house the complexes which carry out the light reactions of photosynthesis. Found exclusively in Paulinella species, which are photosynthetic thecate amoeba.						Plastid, organellar chromatophore thylakoid membrane	SL-0354; Organellar chromatophore thylakoid; LOCATION	reviewed:26; annotated:0
SL-0357	Bacterial flagellum hook	Cellular component	GO:0009424:bacterial-type flagellum hook		The hook of a bacterial flagellum connects the basal body and the filament and acts as a universal joint. This flexible hinge relays the energy generated by the motor into torque formation that is transferred onto the rigid filament.		Bacterial flagella hook, Bacterial flagellar hook				Bacterial flagellum hook	SL-0307; Bacterial flagellum; LOCATION	reviewed:0; annotated:0
SL-0358	Bacterial flagellum filament	Cellular component	GO:0009420:bacterial-type flagellum filament		The bacterial flagellar filament is made of polymerized flagellin.		Bacterial flagella filament, Bacterial flagellar filament				Bacterial flagellum filament	SL-0307; Bacterial flagellum; LOCATION	reviewed:0; annotated:0
SL-0359	Organellar chromatophore inner membrane	Cellular component	GO:0070113:organellar chromatophore inner membrane	SL-0211; Plastid inner membrane; LOCATION, SL-0352; Organellar chromatophore membrane; LOCATION	The organellar chromatophore inner membrane is the membrane which separates the chromatophore stroma from the intermembrane space. Found exclusively in Paulinella species, which are photosynthetic thecate amoeba.						Plastid, organellar chromatophore inner membrane	SL-0351; Organellar chromatophore; LOCATION	reviewed:0; annotated:0
SL-0360	Organellar chromatophore intermembrane space	Cellular component	GO:0070115:organellar chromatophore intermembrane space	SL-0212; Plastid intermembrane space; LOCATION	The intermembrane space between the inner and the outer organellar chromatophore membranes. Found exclusively in Paulinella species, which are photosynthetic thecate amoeba.						Plastid, organellar chromatophore intermembrane space	SL-0351; Organellar chromatophore; LOCATION	reviewed:0; annotated:0
SL-0361	Organellar chromatophore outer membrane	Cellular component	GO:0070114:organellar chromatophore outer membrane	SL-0214; Plastid outer membrane; LOCATION, SL-0352; Organellar chromatophore membrane; LOCATION	The organellar chromatophore outer membrane is the organellar chromatophore membrane facing the cytoplasm. Found exclusively in Paulinella species, which are photosynthetic thecate amoeba.						Plastid, organellar chromatophore outer membrane	SL-0351; Organellar chromatophore; LOCATION	reviewed:0; annotated:0
SL-0362	Inner membrane complex	Cellular component	GO:0070258:inner membrane pellicle complex		The inner membrane complex, found in apicocomplexan parasites, is composed of flattened membrane cisternae closely associated to the cell membrane. Together, the cell membrane and the IMC form a triple lipid bilayer called the pellicle (or cell wall).		IMC				Inner membrane complex	SL-0162; Membrane; LOCATION	reviewed:3; annotated:0
SL-0363	Spore membrane	Cellular component		SL-0162; Membrane; LOCATION	Protein associated with the membrane that surrounds the center or core of a spore, often called spore inner membrane in bacterial spores.		Spore inner membrane				Spore membrane	SL-0539; Spore; LOCATION	reviewed:43; annotated:0
SL-0364	Spore cortex	Cellular component	GO:0043595:endospore cortex		Protein found in the spore cortex. The spore cortex is a loosely cross-linked peptidoglycan layer localized between the spore core and the outer membrane or cortex membrane of bacterial mature spores. The cortex maintains heat resistance and dormancy.						Spore cortex	SL-0539; Spore; LOCATION	reviewed:3; annotated:0
SL-0365	Spore outer membrane	Cellular component	GO:0043594:outer endospore membrane	SL-0162; Membrane; LOCATION	Protein associated with the spore outer membrane. The outer membrane, also called the cortex membrane, is a membrane localized between the cortex and the inner layer of the coat of bacterial mature spores.						Spore outer membrane	SL-0539; Spore; LOCATION	reviewed:5; annotated:0
SL-0366	Spore coat	Cellular component			Protein found in the spore coat. The spore coat is the thick layer found beneath the perispore of some eukaryotic spores and bacterial mature spores. It is made up of highly cross-linked keratin and layers of specific proteins. The coat is composed of several electron-dense and lamella-like layers, differing between species.						Spore coat	SL-0539; Spore; LOCATION	reviewed:35; annotated:2698
SL-0367	Perispore	Cellular component			Protein found in the perispore. The perispore corresponds to the outer surface layer of mature bacterial spores and eukaryotic spores. The perispore, also called perine or exosporium, represents the primary contact surface between the spore and environment/host and is a site of spore antigens.		Exosporium, Perine				Spore, perispore	SL-0539; Spore; LOCATION	reviewed:19; annotated:0
SL-0368	Prospore membrane	Cellular component	GO:0005628:prospore membrane	SL-0162; Membrane; LOCATION	The prospore membrane is a double membrane which forms at the spindle pole body outer plaque during the second meiotic division of the sporulation process. The prospore membrane grows larger and finally engulfs the post-meiotic nuclei to form immature spores called prospores. The de novo synthesis of the spore wall occurs in the prospore intermembrane space and leads to mature spores.		Prespore membrane				Prospore membrane	SL-0369; Prospore; LOCATION	reviewed:29; annotated:0
SL-0369	Prospore	Cellular component	GO:0042764:ascospore-type prospore		The prospore or immature spore is formed during sporulation by the engulfment of the post-meiotic nuclei by the prospore double membrane. These prospores are then maturated into spores with the synthesis of the spore wall.		Prespore				Prospore		reviewed:32; annotated:0
SL-0370	Membrane raft	Cellular component	GO:0045121:membrane raft		Membrane rafts are small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions. Multiple types of rafts are likely to exist, based both on their lipid and protein composition.		Lipid microdomain, Lipid raft, Membrane microdomain		PubMed=16645198,  DOI=10.1194/jlr.E600002-JLR200		Membrane raft	SL-0147; Endomembrane system; LOCATION	reviewed:524; annotated:27683
SL-0371	Pollen coat	Cellular component	GO:0070505:pollen coat	SL-0111; Extracellular matrix; LOCATION	The relatively impermeable, lipidic layer which surrounds the outer exine layer of a pollen grain.		Pollenkitt				Secreted, extracellular space, extracellular matrix, pollen coat		reviewed:6; annotated:0
SL-0372	Host apical cell membrane	Cellular component	GO:0020002:host cell plasma membrane		The fraction of the host cell membrane at the apical end of the host cell, which faces the outside world or the lumen of the host cavity.		Host apical plasma membrane				Host apical cell membrane	SL-0375; Host cell membrane; LOCATION	reviewed:471; annotated:315917
SL-0373	Host cell inner membrane	Cellular component	GO:0020002:host cell plasma membrane	SL-0375; Host cell membrane; LOCATION	The prokaryotic host cell inner membrane is the selectively permeable membrane which separates the host cytoplasm from the host periplasm in prokaryotes with 2 membranes.	KW-1030	Host inner membrane				Host cell inner membrane		reviewed:65; annotated:1974
SL-0374	Host cell junction	Cellular component	GO:0044156:host cell junction		The host cell junction is a host cell-host cell or host cell-host extracellular matrix contact within a tissue of a host multicellular organism, especially abundant in host epithelia. In vertebrates, there are three major types of cell junctions: anchoring junctions (e.g. adherens junctions), communicating junctions (e.g. gap junctions) and occluding junctions (e.g. tight junctions).	KW-1031					Host cell junction	SL-0431; Host; LOCATION	reviewed:186; annotated:2996
